dataset_id,dataset_text,verdict,live_externalId,live_label,score
PRG-0123,Dev : Modular Page Components (LS) Dev : Modular Page Components (LS) ,NEW,,,0.059
PRG-0124,Dev Applying analytics tracking to CMS (LS) Dev Applying analytics tra,NEW,,,0.056
PRG-0125,Dev: OMCOZA -Licence cutover Dev: OMCOZA -Licence cutover for Public W,NEW,,,0.083
PRG-0126,Dev : Tableau Analytics Dev : Tableau Analytics for Public Web / OMCOZ,NEW,,,0.095
PRG-0127,Take live in V2 new platform Take live in V2 new platform for Public W,NEW,,,0.083
PRG-0128,Testing in V2 new platform and log bugs Testing in V2 new platform and,NEW,,,0.057
PRG-0129,Take live in V2 new platform Take live in V2 new platform for Public W,NEW,,,0.061
PRG-0130,Record Funeral URL structure based on proposed sunset/consolidated pag,NEW,,,0.061
PRG-0131,Record Retirement URL structure based on consolidated pages as per new,NEW,,,0.061
PRG-0132,Record Flexi Save URL structure based on consolidated pages as per new,NEW,,,0.059
PRG-0133,Record URL structure based on all as-is pages (keep/remove/consolidate,NEW,,,0.091
PRG-0134,Start moving as-is pages over to Beta Start moving as-is pages over to,NEW,,,0.061
PRG-0135,Record URL structure for all remaining Personal pages (keep/remove/con,NEW,,,0.074
PRG-0136,Start building new template pages Start building new template pages fo,NEW,,,0.05
PRG-0137,Record URL structure for all remaining Corporate pages (keep/remove/co,NEW,,,0.071
PRG-0138,Start building new template pages Start building new template pages fo,NEW,,,0.05
PRG-0139,Start building new template pages Start building new template pages fo,NEW,,,0.05
PRG-0140,Record URL structure for all remaining Utility pages (keep/remove/cons,NEW,,,0.071
PRG-0141,Start building new template pages Start building new template pages fo,NEW,,,0.05
PRG-0142,Record URL structure for all remaining About us pages (keep/remove/con,NEW,,,0.071
PRG-0143,Start building new template pages Start building new template pages fo,NEW,,,0.05
PRG-0144,Record URL structure for all remaining Careers pages (keep/remove/cons,NEW,,,0.071
PRG-0145,Start building new template pages Start building new template pages fo,NEW,,,0.05
PRG-0146,Record URL structure for all remaining Business pages (keep/remove/con,NEW,,,0.071
PRG-0147,Start building new template pages Start building new template pages fo,NEW,,,0.05
PRG-0148,"Add new Nav, Footer and update IA Add new Nav, Footer and update IA fo",NEW,,,0.05
PRG-0149,"Add new Nav, Footer and update IA Add new Nav, Footer and update IA fo",NEW,,,0.049
PRG-0150,"Add new Nav, Footer and update IA Add new Nav, Footer and update IA fo",NEW,,,0.049
PRG-0151,"Add new Nav, Footer and update IA Add new Nav, Footer and update IA fo",NEW,,,0.05
PRG-0152,"Publishing requirements for OMAR, logged on OMAR tab Publishing requir",NEW,,,0.04
PRG-0153,Add all new redirects for the site Add all new redirects for the site ,NEW,,,0.054
PRG-0154,Penetration Testing Discussion and confirmation Penetration Testing Di,NEW,,,0.059
PRG-0155,Quality Assurance Approval Quality Assurance Approval for Public Web /,NEW,,,0.1
PRG-0156,Security Approvals Security Approvals for Public Web / All / All / All,NEW,,,0.1
PRG-0157,Internal Communication ( Call Centre) - Marketing Team Driven Internal,NEW,,,0.061
PRG-0158,Service Now Update Service Now Update for Public Web / All / All / All,NEW,,,0.1
PRG-0159,Executive Approval Executive Approval for Public Web / All / All / All,NEW,,,0.087
PRG-0160,Change Management Go Ahead Change Management Go Ahead for Public Web /,NEW,,,0.08
PRG-0161,Customer Experience Tool Customer Experience Tool for Public Web / All,NEW,,,0.074
PRG-0162,Confirm Engagement Cycle with SEO Team Confirm Engagement Cycle with S,NEW,,,0.069
PRG-0163,SEO Requirements to Dev Team SEO Requirements to Dev Team for Public W,NEW,,,0.118
PRG-0164,Engagement required to communicate recalibration of project to various,NEW,,,0.079
PRG-0165,Publishing of all pages in V2 New platform Publishing of all pages in ,NEW,,,0.043
PRG-0166,Publishing of all pages in V2 New platform Publishing of all pages in ,NEW,,,0.043
PRG-0167,Publishing of all pages in V2 New platform Publishing of all pages in ,NEW,,,0.043
PRG-0168,Publishing of all pages in V2 New platform Publishing of all pages in ,NEW,,,0.043
PRG-0169,Publishing of all pages in V2 New platform Publishing of all pages in ,NEW,,,0.043
PRG-0170,Publishing of all pages in V2 New platform Publishing of all pages in ,NEW,,,0.043
PRG-0171,Publishing of all pages in V2 New platform Publishing of all pages in ,NEW,,,0.043
PRG-0172,Publishing of all pages in V2 New platform Publishing of all pages in ,NEW,,,0.074
PRG-0173,Travel Insurance Sales Migration Travel Insurance Sales Migration for ,NEW,,,0.065
PRG-0174,Mvest Mvest for Public Web / OMAR / Ghana / Ghana. Planned delivery de,NEW,,,0.071
PRG-0175,Personal Loan Application Personal Loan Application for Public Web / O,NEW,,,0.067
PRG-0176,Personal Loan Repayment Calculator Personal Loan Repayment Calculator ,NEW,,,0.065
PRG-0177,Migration of Secure Web Migration of Secure Web for Secure Web / OMAR ,NEW,,,0.1
PRG-0178,Service Transactions Service Transactions for Secure Web / OMAR / Nami,NEW,,,0.107
PRG-0179,Eswatini Funeral Eswatini Funeral for Public Web / OMAR / eSwatini / e,NEW,,,0.062
PRG-0180,Funeral Claims - Servicing Journey Funeral Claims - Servicing Journey ,NEW,,,0.054
PRG-0181,Motor claims - Service Journey Motor claims - Service Journey for Publ,NEW,,,0.054
PRG-0182,Home owners claims- Service Journey Home owners claims- Service Journe,NEW,,,0.053
PRG-0183,Home content claims Service Journey Home content claims Service Journe,NEW,,,0.053
PRG-0184,Credit Life Credit Life for Public Web / OMAR / Botswana / Botswana. P,NEW,,,0.057
PRG-0185,Funeral Claims - Sales Journey Funeral Claims - Sales Journey for Publ,NEW,,,0.054
PRG-0186,Motor claims - Sales Journey Motor claims - Sales Journey for Public W,NEW,,,0.054
PRG-0187,Home owners claims- Sales Journey Home owners claims- Sales Journey fo,NEW,,,0.053
